#   Enu		   cross-section
   6.96969986       55.7661247    
   6.98607969       56.0824356    
   7.00246000       56.3997192    
   7.01883984       56.7174301    
   7.03521967       57.0362053    
   7.05159950       57.3556709    
   7.06797934       57.6764984    
   7.08435965       57.9974365    
   7.10073948       58.3196793    
   7.11711979       58.6426697    
   7.13349962       58.9667244    
   7.14987993       59.2911453    
   7.16625977       59.6166000    
   7.18263960       59.9434166    
   7.19901943       60.2706451    
   7.21539974       60.5985680    
   7.23177958       60.9275475    
   7.24815941       61.2572212    
   7.26453972       61.5882568    
   7.28092003       61.9190483    
   7.29729986       62.2518349    
   7.31367970       62.5846825    
   7.33005953       62.9189186    
   7.34643984       63.2531700    
   7.36281967       63.5891228    
   7.37919950       63.9255028    
   7.39557934       64.2628708    
   7.41195965       64.6012878    
   7.42833996       64.9400864    
   7.44471979       65.2795868    
   7.46109962       65.6207657    
   7.47747946       65.9620132    
   7.49385977       66.3046494    
   7.51023960       66.6476364    
   7.52661943       66.9913101    
   7.54299927       67.3366776    
   7.55938005       67.6824493    
   7.57575989       68.0286102    
   7.59213972       68.3760757    
   7.60851955       68.7242813    
   7.62489986       69.0734940    
   7.64127970       69.4231339    
   7.65765953       69.7734146    
   7.67403936       70.1254044    
   7.69041967       70.4777832    
   7.70679998       70.8305054    
   7.72317982       71.1846313    
   7.73955965       71.5394058    
   7.75593948       71.8952484    
   7.77231979       72.2514420    
   7.78869963       72.6093063    
   7.80507946       72.9672470    
   7.82145929       73.3261948    
   7.83783960       73.6861877    
   7.85421944       74.0468292    
   7.87059975       74.4082031    
   7.88697958       74.7706223    
   7.90335989       75.1334152    
   7.91973972       75.4975052    
   7.93611956       75.8619843    
   7.95249939       76.2278366    
   7.96887970       76.5943832    
   7.98525953       76.9612885    
   8.00163937       77.3298645    
   8.01801968       77.6984711    
   8.03439999       78.0684509    
   8.05077934       78.4388046    
   8.06715965       78.8101501    
   8.08353996       79.1822052    
   8.09992027       79.5555954    
   8.11629963       79.9290009    
   8.13267899       80.3037949    
   8.14905930       80.6792603    
   8.16543961       81.0554504    
   8.18181992       81.4326248    
   8.19820023       81.8105011    
   8.21457958       82.1890335    
   8.23095894       82.5686264    
   8.24733925       82.9492264    
   8.26371956       83.3305206    
   8.28009987       83.7124786    
   8.29647923       84.0954895    
   8.31286049       84.4788361    
   8.32923985       84.8635254    
   8.34561920       85.2485733    
   8.36199951       85.6349640    
   8.37837982       86.0220566    
   8.39476013       86.4094772    
   8.41113949       86.7982864    
   8.42751884       87.1874008    
   8.44389915       87.5775681    
   8.46027946       87.9687271    
   8.47665977       88.3602371    
   8.49304008       88.7531281    
   8.50941944       89.1463013    
   8.52579975       89.5408554    
   8.54217911       89.9361038    
   8.55855942       90.3320160    
   8.57493973       90.7286148    
   8.59132004       91.1262131    
   8.60770035       91.5241699    
   8.62407970       91.9234848    
   8.64045906       92.3237762    
   8.65683937       92.7240982    
   8.67321968       93.1260986    
   8.68959999       93.5281067    
   8.70597935       93.9311371    
   8.72235966       94.3355179    
   8.73873901       94.7405319    
   8.75511932       95.1459122    
   8.77149963       95.5519791    
   8.78787994       95.9593735    
   8.80426025       96.3671341    
   8.82063961       96.7761765    
   8.83701897       97.1859283    
   8.85339928       97.5963821    
   8.86977959       98.0074768    
   8.88615990       98.4192276    
   8.90254021       98.8326797    
   8.91891956       99.2460938    
   8.93529987       99.6605682    
   8.95167923       100.075706    
   8.96805954       100.491524    
   8.98443985       100.908630    
   9.00082016       101.326103    
   9.01719952       101.744904    
   9.03357887       102.164055    
   9.04995918       102.584518    
   9.06633949       103.005005    
   9.08271980       103.426476    
   9.09910011       103.848976    
   9.11547947       104.272438    
   9.13185978       104.696594    
   9.14823914       105.121399    
   9.16461945       105.547203    
   9.18099976       105.973724    
   9.19737911       106.400856    
   9.21376038       106.828659    
   9.23013973       107.257805    
   9.24651909       107.687271    
   9.26289940       108.117744    
   9.27927971       108.549202    
   9.29566002       108.980690    
   9.31203938       109.414116    
   9.32841873       109.847931    
   9.34479904       110.281395    
   9.36117935       110.717499    
   9.37755966       111.153595    
   9.39393997       111.590378    
   9.41032028       112.027809    
   9.42669964       112.466240    
   9.44307899       112.905312    
   9.45945930       113.345390    
   9.47583961       113.785805    
   9.49221992       114.227524    
   9.50860023       114.669899    
   9.52497959       115.112953    
   9.54135895       115.556664    
   9.55773926       116.001717    
   9.57411957       116.446709    
   9.59049988       116.893059    
   9.60687923       117.340050    
   9.62325954       117.788383    
   9.63963890       118.237328    
   9.65601921       118.686966    
   9.67239952       119.136612    
   9.68877983       119.588203    
   9.70516014       120.039780    
   9.72153950       120.491409    
   9.73791885       120.945587    
   9.75429916       121.399818    
   9.77067947       121.854713    
   9.78705978       122.310234    
   9.80344009       122.767097    
   9.81982040       123.224586    
   9.83619881       123.682709    
   9.85257912       124.141495    
   9.86895943       124.600952    
   9.88533974       125.061043    
   9.90172005       125.522499    
   9.91810036       125.984543    
   9.93447876       126.447227    
   9.95085907       126.910622    
   9.96723938       127.374596    
   9.98361969       127.839920    
   10.0000000       128.305923    
