7.500000000000000000e+00	8.500000000000000000e+00	5.157635467979999611e+00
8.500000000000000000e+00	9.500000000000000000e+00	2.438423645319999888e+00
9.500000000000000000e+00	1.050000000000000000e+01	1.566502463049999960e+00
1.050000000000000000e+01	1.150000000000000000e+01	1.019704433500000063e+00
1.150000000000000000e+01	1.250000000000000000e+01	9.458128078819999507e-01
1.250000000000000000e+01	1.350000000000000000e+01	9.605911330049999863e-01
1.350000000000000000e+01	1.450000000000000000e+01	9.753694581280000220e-01
1.450000000000000000e+01	1.550000000000000000e+01	9.605911330049999863e-01
1.550000000000000000e+01	1.650000000000000000e+01	9.753694581280000220e-01
1.650000000000000000e+01	1.750000000000000000e+01	9.162561576350000125e-01
1.750000000000000000e+01	1.850000000000000000e+01	8.571428571429999810e-01
1.850000000000000000e+01	1.950000000000000000e+01	8.128078817730000072e-01
1.950000000000000000e+01	2.050000000000000000e+01	7.832512315270000469e-01
2.050000000000000000e+01	2.150000000000000000e+01	7.536945812809999756e-01
2.150000000000000000e+01	2.250000000000000000e+01	7.241379310340000375e-01
2.250000000000000000e+01	2.350000000000000000e+01	7.093596059110000018e-01
2.350000000000000000e+01	2.450000000000000000e+01	6.798029556650000416e-01
2.450000000000000000e+01	2.550000000000000000e+01	6.650246305420000059e-01
2.550000000000000000e+01	2.650000000000000000e+01	6.354679802960000456e-01
2.650000000000000000e+01	2.750000000000000000e+01	6.354679802960000456e-01
2.750000000000000000e+01	2.850000000000000000e+01	6.206896551720000321e-01
2.850000000000000000e+01	2.950000000000000000e+01	6.059113300489999965e-01
