0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000042e-02	8.600000000000000670e-06	1.000000000000000082e-05	7.099999999999999785e-06
4.000000000000000083e-02	3.399999999999999973e-05	3.910000000000000172e-05	2.790000000000000054e-05
5.999999999999999778e-02	7.519999999999999829e-05	8.590000000000000088e-05	6.200000000000000270e-05
8.000000000000000167e-02	1.313999999999999955e-04	1.491999999999999945e-04	1.089000000000000043e-04
1.000000000000000056e-01	2.019000000000000016e-04	2.276000000000000028e-04	1.679999999999999907e-04
1.199999999999999956e-01	2.859000000000000105e-04	3.200000000000000262e-04	2.388000000000000040e-04
1.400000000000000133e-01	3.824999999999999733e-04	4.249999999999999763e-04	3.201999999999999768e-04
1.600000000000000033e-01	4.912000000000000133e-04	5.412999999999999843e-04	4.131000000000000123e-04
1.799999999999999933e-01	6.112000000000000028e-04	6.671000000000000063e-04	5.188000000000000337e-04
2.000000000000000111e-01	7.416999999999999765e-04	8.000999999999999866e-04	6.356000000000000538e-04
2.200000000000000011e-01	8.819000000000000233e-04	9.328999999999999619e-04	7.630999999999999546e-04
2.399999999999999911e-01	1.031199999999999912e-03	1.088599999999999898e-03	9.012000000000000045e-04
2.600000000000000089e-01	1.188500000000000103e-03	1.257800000000000107e-03	1.049599999999999925e-03
2.800000000000000266e-01	1.352799999999999923e-03	1.435400000000000087e-03	1.208099999999999929e-03
2.999999999999999889e-01	1.521999999999999915e-03	1.619299999999999949e-03	1.376300000000000006e-03
3.200000000000000067e-01	1.691900000000000088e-03	1.801199999999999980e-03	1.554100000000000099e-03
3.400000000000000244e-01	1.864800000000000008e-03	2.013500000000000099e-03	1.741099999999999983e-03
3.599999999999999867e-01	2.073000000000000190e-03	2.236399999999999933e-03	1.937300000000000090e-03
3.800000000000000044e-01	2.290100000000000208e-03	2.468300000000000095e-03	2.142300000000000194e-03
4.000000000000000222e-01	2.515600000000000214e-03	2.708299999999999857e-03	2.355799999999999908e-03
4.199999999999999845e-01	2.748299999999999962e-03	2.953499999999999962e-03	2.577700000000000043e-03
4.400000000000000022e-01	2.989700000000000083e-03	3.216600000000000015e-03	2.807700000000000213e-03
4.600000000000000200e-01	3.243699999999999969e-03	3.488499999999999848e-03	3.045400000000000190e-03
4.799999999999999822e-01	3.505799999999999889e-03	3.769000000000000215e-03	3.290599999999999862e-03
5.000000000000000000e-01	3.775500000000000210e-03	4.057500000000000343e-03	3.542500000000000076e-03
5.200000000000000178e-01	4.051100000000000187e-03	4.353100000000000372e-03	3.800200000000000106e-03
5.400000000000000355e-01	4.336200000000000124e-03	4.660499999999999712e-03	4.058599999999999881e-03
5.600000000000000533e-01	4.634300000000000051e-03	4.975799999999999841e-03	4.339299999999999928e-03
